"","","","","","","","","","","","","","","","","","SHT update","","","","","","","","SHT update","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"No.","INDEX1","INDEX2","Customer","Fab","Tool","SS P/N","SS S/N","PO","0247#","수주번호","Note","S/D","Login date","Incoming date","Repair
Location","IONES->SHT","SHT->IONES","Arrival date
in iONES","CLN
Finsh date","Delivery
date","PM Reason","Arrived 
at SHT","Process Needed","Repaired","Refurb/replace reason","SHT Remark ","SHT PO","","Recycle
Count
(T-R-C)","Total wafer","Wafer Pass Copper","Wafer Pass
Nickel","WaferPass Tin-Silver","Wafer Pass 
Tin","Wafer Pass
Gold","Amp-Min Copper            ","Amp-Min 
Nickel","Amp-Min Tin-Silver","Amp-Min 
Tin","Amp-Min 
Gold","History file Date","Pass or Fail","DMR#","NC report content
(Auto // Need to update ""DMR Ctrl CV"" Sheet)","Status","Replcaement part","Repacement PN","Wafer Seal","Contact pin","Cotnact pin
Q'ty","기본
Screw","Screw
Q'ty","Screw other","Screw other
Q'ty","Retainer","Lead in","Lead in Q'ty"
"9306","137079707C","137079707-R0C","Hynix","","51640(Hynix)","A0506293","137079707","4517542451","0247-05612","240103-072-4","","","45294","45294","","","","","45300","45301","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","1000","","","1000","","","","","","","","","","","","","","","","","","","","","",""
"9308","137485312C","137485312-R0C","Hynix","","51640(Hynix)","A0506293","137485312","4517542453","0247-05612","240103-072-6","","","45294","45294","","","","","45300","45301","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","1000","","","1000","","","","","","","","","","","","","","","","","","","","","",""
"9310","137485321C","137485321-R0C","Hynix","","51640(Hynix)","A0506293","137485321","4517542446","0247-05612","240103-072-8","","","45294","45294","","","","","45300","45301","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","1000","","","1000","","","","","","","","","","","","","","","","","","","","","",""
"9327","130895007C","130895007-R0C","Samsung","L16","18150(SEC)","A0503419","130895007","4517548590","0247-07525","240104-071-8","","","45294","45294","","","","","45300","45301","SS Plate UP","","","","","","","","1-0-1","590","590","","","588","","9467","","","2032","","","","","","","","","","","","","","","","","",""
"9320","124588321C","124588321-R0C","Samsung","L16","10393(SEC)","A0503419","124588321","4517548698","0247-07525","240104-071-1","","","45294","45294","","","","","45301","45302","failed leak test","","","","","","","","1-0-1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9324","130895044C","130895044-R0C","Samsung","L16","18150(SEC)","A0503419","130895044","4517548797","0247-07525","240104-071-5","","","45294","45294","","","","","45301","45302","SS Plate UP","","","","","","","","1-0-1","559","557","","","559","","9025.44","","","1940.43","","","","","","","","","","","","","","","","","",""
"9328","130895024C","130895024-R0C","Samsung","L16","18150(SEC)","A0503419","130895024","4517548724","0247-07525","240104-071-9","","","45294","45294","","","","","45301","45302","SS Plate UP","","","","","","","","1-0-1","406","406","","","406","","6543","","","1408","","","","","","","","","","","","","","","","","",""
"9332","130895019C","130895019-R0C","Samsung","L16","18150(SEC)","A0503419","130895019","4517548761","0247-07525","240104-071-13","","","45294","45294","","","","","45301","45302","SS Plate UP","","","","","","","","1-0-1","405","405","","","405","","6543","","","1406","","","","","","","","","","","","","","","","","",""
"9335","178290313C","178290313-R0C","Hynix","","40383(Hynix)","A0506293","178290313","4517542411","0247-05612","240104-072-3","","","45295","45295","","","","","45301","45302","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9331","130895030C","130895030-R0C","Samsung","L16","10393(SEC)","A0503419","130895030","4517548688","0247-07525","240104-071-12","","","45294","45294","","","","","45302","45303","SS Plate UP","","","","","","","","1-0-1","1045","1044","","","1045","","16770","","","3606","","","","","","","","","","","","","","","","","",""
"9342","130895034C","130895034-R0C","Samsung","L16","18150(SEC)","A0503419","130895034","4517561495","0247-07525","230108-071-5","","","45296","45296","","","","","45302","45303","SS Plate UP","","","","","","","","1-0-1","377","377","","","377","","6104","","","1311","","","","","","","","","","","","","","","","","",""
"9343","130895025C","130895025-R0C","Samsung","L16","18150(SEC)","A0503419","130895025","4517561516","0247-07525","230108-071-6","","","45296","45296","","","","","45302","45303","SS Plate UP","","","","","","","","1-0-1","87","87","","","87","","1391.73","","","299.32","","","","","","","","","","","","","","","","","",""
"9350","178290312C","178290312-R0C","Hynix","","17769(Hynix)","A0506293","178290312","4517569798","0247-05612","240108-072-7","","","45299","45299","","","","","45302","45303","Safeseal PM Counts Reach","","","","","","","","1-0-1","1300","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9351","173605602C","173605602-R0C","Hynix","","17769(Hynix)","A0506293","173605602","4517569606","0247-05612","240108-072-8","","","45299","45299","","","","","45302","45303","Safeseal PM Counts Reach","","","","","","","","1-0-1","1300","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9352","122882101C","122882101-R0C","Hynix","","7022(Hynix)","A0503421","122882101","4517569796","0247-04585","240108-072-9","","","45299","45299","","","","","45302","45303","SS Plate UP","","","","","","","","1-0-1","121","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9353","137485307C","137485307-R0C","Hynix","","40383(Hynix)","A0506293","137485307","4517569601","0247-05612","240108-072-10","","","45299","45299","","","","","45302","45303","SS Plate UP","","","","","","","","1-0-1","473","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9354","193585117C","193585117-R0C","Hynix","","51640(Hynix)","A0506293","193585117","4517569612","0247-05612","240108-072-11","","","45299","45299","","","","","45302","45303","Safeseal PM Counts Reach","","","","","","","","1-0-1","1000","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9355","127487008C","127487008-R0C","Hynix","","51640(Hynix)","A0506293","127487008","4517569602","0247-05612","240108-072-12","","","45299","45299","","","","","45302","45303","SS Plate UP","","","","","","","","1-0-1","713","","713","","","713","","","","","","","","","","","","","","","","","","","","","",""
"9325","130895035C","130895035-R0C","Samsung","L16","10393(SEC)","A0503419","130895035","4517548714","0247-07525","240104-071-6","","","45294","45294","","","","","45303","45304","SS Plate UP","","","","","","","","1-0-1","439","439","","","439","","7067","","","1520","","","","","","","","","","","","","","","","","",""
"9329","129499703C","129499703-R0C","Samsung","L16","18150(SEC)","A0503419","129499703","4517548676","0247-07525","240104-071-10","","","45294","45294","","","","","45303","45304","SS Plate UP","","","","","","","","1-0-1","1169","1169","","","1169","","18715.4","","","4023.03","","","","","","","","","","","","","","","","","",""
"9345","194118902C","194118902-R0C","Hynix","","40383(Hynix)","A0506293","194118902","4517569605","0247-05612","240108-072-2","","","45299","45299","","","","","45303","45304","SS Plate UP","","","","","","","","1-0-1","407","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9346","160277806C","160277806-R0C","Hynix","","40383(Hynix)","A0506293","160277806","4517569603","0247-05612","240108-072-3","","","45299","45299","","","","","45303","45304","SS Plate UP","","","","","","","","1-0-1","594","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9347","162761409C","162761409-R0C","Hynix","","40383(Hynix)","A0506293","162761409","4517569607","0247-05612","240108-072-4","","","45299","45299","","","","","45303","45304","SS Plate UP","","","","","","","","1-0-1","904","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9348","129499621C","129499621-R0C","Hynix","","40383(Hynix)","A0506293","129499621","4517569609","0247-05612","240108-072-5","","","45299","45299","","","","","45303","45304","SS Plate UP","","","","","","","","1-0-1","190","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9356","137079709C","137079709-R0C","Hynix","","21384(Hynix)","A0506293","137079709","4517569608","0247-05612","240108-072-13","","","45299","45299","","","","","45303","45304","SS Plate UP","","","","","","","","1-0-1","484","173","484","482","","","","","","","","","","","","","","","","","","","","","","","",""
"9381","125037302C","125037302-R0C","Samsung","L16","18150(SEC)","A0503419","125037302","4517569837","0247-07525","240108-071-24","","","45299","45299","","","","","45303","45304","","","","","","","","","1-0-1","189","189","","","189","","3041.77","","","653.94","","","","","","","","","","","","","","","","","",""
