"사업장","공장","SafeSeal타입","반입번호","제조오더번호","SN","기존 SN","신규 SN","사용자재목록","사용수량목록","최종공정","상태"
"HSIONES","P2","REFURB","260213-071-2","T226021300225","A0529179 147504002","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260317-071-13","T226031700134","A0496495 169372509","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260317-071-15","T226031700136","A0496495 182789203","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260317-071-20","T226031700141","A0496495 177336326","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260317-071-21","T226031700142","A0563802 169372518","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-072-19","T226031900087","A0506293 219114411","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-072-20","T226031900088","A0506293 213557420","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-071-1","T226032000139","A0618162 133040408","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-071-2","T226032000140","A0618162 209513607","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-071-3","T226032000141","A0618162 219353009","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-071-4","T226032000142","A0618162 219353013","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-071-5","T226032000143","A0618162 220511507","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-071-6","T226032000144","A0618162 220511513","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-071-7","T226032000145","A0618162 221930116","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-071-8","T226032000146","A0618162 222246301","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-071-9","T226032000147","A0618162 224131007","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260319-071-10","T226032000148","A0618162 225381405","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260320-072-6","T226032000189","A0503421 121881903","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260323-072-13","T226032300135","A0506293 233207201","","","","","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260323-072-15","T226032300137","A0506293 233207209","","","","","출하검사","작업완료"
"HSIONES","P2","REFURB","260323-072-18","T226032300140","A0503421 125139909","","","A0405465","15","출하검사","작업완료"
"HSIONES","P2","REFURB","260323-072-18","T226032300140","A0503421 125139909","","","A0491889","1","출하검사","작업완료"
"HSIONES","P2","REFURB","260323-072-18","T226032300140","A0503421 125139909","9000040639 2923 20035","9000174472 4425 01011","A0435265","1","출하검사","작업완료"
"HSIONES","P2","CHEM SOAK","260323-072-19","T226032300141","A0506293 127487015","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260324-071-1","T226032400144","A0596863 246812301","","","","","출하검사","작업완료"
"HSIONES","P2","WIPE DOWN","260324-071-2","T226032400145","A0508175 142186001","","","","","출하검사","작업완료"
